74.73	86.9
74.75	84.7
74.77	80.8
74.79	86.1
74.81	89.3
74.83	87.2
74.85	82.2
74.88	82.8
74.90	77.8
74.92	82.6
74.95	72.0
74.97	74.2
74.99	17.5
75.07	77.4
75.09	43.8
75.11	49.5
75.13	12.2
75.15	75.5
75.17	84.9
75.74	-31.7
75.76	-51.4
75.78	-52.4
75.80	-31.6
75.82	-30.5
75.84	-19.1
75.86	-38.8
75.88	-35.7
75.91	22.5
75.93	15.6
75.95	6.2
75.95	59.1
75.97	41.2
75.99	2.9
76.01	27.5
76.03	47.6
76.05	64.3
76.07	82.6
76.09	69.1
76.11	-2.9
76.13	69.0
76.13	55.0
76.15	87.6
76.17	18.5
76.19	33.1
76.21	61.3
76.24	71.4
76.26	16.1
76.28	68.0
76.32	47.7
76.34	74.2
76.36	40.3
76.38	44.3
76.40	25.3
76.42	49.9
76.46	54.6
76.48	-22.2
76.50	-33.0
76.52	3.9
76.54	69.8
76.58	8.0
76.60	-29.4
76.62	-50.2
76.64	-38.7
76.66	1.9
76.68	-26.6
76.70	-60.4
76.70	44.0
76.72	29.4
76.74	77.4
76.76	49.8
76.78	70.5
76.83	62.3
76.85	71.7
76.85	-75.9
76.87	24.3
76.89	86.8
76.91	74.2
76.93	71.9
76.95	68.0
76.97	51.8
76.99	72.6
77.01	25.1
77.03	76.4
77.05	-23.0
77.07	88.0
77.09	-87.5
77.11	-78.6
77.11	82.4
77.13	-82.2
77.15	-82.2
77.17	-83.8
77.19	-87.1
77.21	-81.2
77.23	-70.8
77.25	-80.2
77.27	-86.9
77.29	-11.0
77.35	-83.4
77.37	-86.4
77.39	-80.5
77.41	-83.5
77.43	-70.9
77.45	15.8
77.47	9.4
77.49	-87.6
77.53	-54.4
77.53	16.8
77.55	51.5
77.57	43.8
77.59	29.0
77.61	42.4
77.61	84.5
77.63	71.0
77.65	81.2
77.67	74.6
77.68	77.7
77.70	86.0
77.72	83.6
77.74	85.8
77.76	72.3
77.78	47.0
77.80	67.7
77.80	6.0
77.82	43.5
77.84	82.9
77.86	-22.4
77.89	-73.2
77.91	41.7
77.91	-60.4
77.93	-69.0
77.95	-71.0
77.97	-78.4
77.99	-87.3
78.02	-75.0
78.04	-66.0
78.06	-83.4
78.08	-68.8
78.11	-63.4
78.11	47.7
78.13	-64.2
78.15	-86.7
78.18	-63.3
78.20	-78.1
78.22	-74.0
78.24	-76.5
78.26	-71.3
78.28	-80.3
78.30	-68.8
78.35	-72.9
78.37	-72.1
78.39	-75.3
78.41	-63.5
78.43	-72.7
78.45	-67.1
78.52	-51.3
78.52	-5.7
78.54	-48.4
78.56	-77.0
78.58	45.1
78.58	-73.9
78.60	-80.3
78.62	-62.3
78.66	29.9
78.66	-69.6
78.68	-72.0
78.70	-75.1
78.72	-84.6
78.74	-74.9
78.76	-78.9
78.78	-83.3
78.80	-83.4
78.83	-78.9
78.85	-81.3
78.87	-76.8
78.89	-82.4
78.91	-79.7
78.93	-76.3
78.95	-82.2
78.97	-82.2
79.00	-77.3
79.02	-81.7
79.04	-75.7
79.06	-79.2
79.08	-87.9
79.10	-80.7
79.12	-80.0
79.14	-80.1
79.16	-78.9
79.21	-76.3
79.23	-81.8
79.25	-82.2
79.27	-77.7
79.29	-79.1
79.31	-79.9
79.33	-87.0
79.34	-79.5
79.36	-77.9
79.38	-75.5
79.40	-77.3
79.46	-57.4
79.48	-60.8
79.50	-63.8
79.52	-59.7
79.54	-61.7
79.56	-61.7
79.58	-68.8
79.60	-57.8
79.62	-68.5
79.64	-67.3
79.66	-67.4
79.68	-67.1
79.70	-72.4
